ID	Topic
# sent_id = M2S30	NONE
# sent_id = 3100	SPORT
# sent_id = 3015	NONE
# sent_id = 4685	NONE
# sent_id = 2112	SPORT
# sent_id = 1577	NONE
# sent_id = 2690	NONE
# sent_id = 3745	POLITICS
# sent_id = 9364	POLITICS
# sent_id = 3990	SPORT
# sent_id = M1S7	NONE
# sent_id = 9292	SPORT
# sent_id = 3025	NONE
# sent_id = 578	SOCIETAL
# sent_id = 48	SPORT
# sent_id = 4590	NONE
# sent_id = 4567	PRAYER
# sent_id = M4S6	NONE
# sent_id = 1402	POLITICS
# sent_id = M4S58	NONE
# sent_id = 1144	SPORT
# sent_id = M4S5	SPORT
# sent_id = M3S34	SOCIETAL
# sent_id = M3S57	NONE
# sent_id = 1544	SPORT
# sent_id = 1837	POLITICS
# sent_id = 4523	SOCIETAL
# sent_id = 2316	SPORT
# sent_id = M4S19	NONE
# sent_id = 2223	SPORT
# sent_id = 3136	SPORT
# sent_id = 4225	SPORT
# sent_id = 723	SPORT
# sent_id = 1903	POLITICS
# sent_id = 4569	NONE
# sent_id = 4548	NONE
# sent_id = M1S13	SOCIETAL
# sent_id = M3S40	SOCIETAL
# sent_id = 128	SOCIETAL
# sent_id = 4475	SOCIETAL
# sent_id = 2149	POLITICS
# sent_id = M2S34	SPORT
# sent_id = 4375	SOCIETAL
# sent_id = M3S65	SOCIETAL
# sent_id = M3S11	NONE
# sent_id = 4604	SPORT
# sent_id = M4S73	SOCIETAL
# sent_id = 2845	SPORT
# sent_id = 4547	POLITICS
# sent_id = 2063	SPORT
# sent_id = M1S18	POLITICS
# sent_id = 4518	POLITICS
# sent_id = 4214	NONE
# sent_id = 4488	PRAYER
# sent_id = 4508	SPORT
# sent_id = 869	NONE
# sent_id = 1458	SPORT
# sent_id = 3936	PRAYER
# sent_id = 1501	SPORT
# sent_id = 4055	SPORT
# sent_id = 1752	NONE
# sent_id = 3420	NONE
# sent_id = 2203	SPORT
# sent_id = 82	SPORT
# sent_id = 9345	SPORT
# sent_id = 998	SOCIETAL
# sent_id = 2702	SOCIETAL
# sent_id = M4S79	NONE
# sent_id = 2735	NONE
# sent_id = 3830	NONE
# sent_id = 3523	POLITICS
# sent_id = 4434	SPORT
# sent_id = M2S33	NONE
# sent_id = 74	SOCIETAL
# sent_id = 4439	POLITICS
# sent_id = 1338	SPORT
# sent_id = 62	SOCIETAL
# sent_id = 722	SPORT
# sent_id = M1S6	NONE
# sent_id = 54	SOCIETAL
# sent_id = 4460	SPORT
# sent_id = M4S36	NONE
# sent_id = 1157	NONE
# sent_id = 3918	NONE
# sent_id = 4513	PRAYER
# sent_id = M4S31	SOCIETAL
# sent_id = 4573	SPORT
# sent_id = 4404	PRAYER
# sent_id = 1684	SPORT
# sent_id = 1384	NONE
# sent_id = 4693	SOCIETAL
# sent_id = 305	SOCIETAL
# sent_id = 5351	SPORT
# sent_id = 3919	SOCIETAL
# sent_id = M1S2	SOCIETAL
# sent_id = 4612	SOCIETAL
# sent_id = M4S16	NONE
# sent_id = 39	POLITICS
# sent_id = 2078	SOCIETAL
# sent_id = 9351	SPORT
# sent_id = 2200	SPORT
# sent_id = M2S42	NONE
# sent_id = 4507	POLITICS
# sent_id = 4558	SOCIETAL
# sent_id = 3337	SOCIETAL
# sent_id = 4116	SPORT
# sent_id = 25	SPORT
# sent_id = 2804	SPORT
# sent_id = 52	SPORT
# sent_id = 3290	PRAYER
# sent_id = 46	SPORT
# sent_id = 510	PRAYER
# sent_id = M2S54	NONE
# sent_id = 9327	SOCIETAL
