ID	SENT
# sent_id = M2S30	NEU
# sent_id = 3100	NEU
# sent_id = 3015	NEG
# sent_id = 4685	NEU
# sent_id = 2112	POS
# sent_id = 1577	MIX
# sent_id = 2690	MIX
# sent_id = 3745	POS
# sent_id = 9364	MIX
# sent_id = 3990	POS
# sent_id = M1S7	NEU
# sent_id = 9292	POS
# sent_id = 3025	NEU
# sent_id = 578	NEG
# sent_id = 48	POS
# sent_id = 4590	NEG
# sent_id = 4567	NEU
# sent_id = M4S6	NEG
# sent_id = 1402	NEU
# sent_id = M4S58	NEU
# sent_id = 1144	POS
# sent_id = M4S5	NEG
# sent_id = M3S34	NEG
# sent_id = M3S57	NEU
# sent_id = 1544	NEG
# sent_id = 1837	MIX
# sent_id = 4523	NEG
# sent_id = 2316	POS
# sent_id = M4S19	NEU
# sent_id = 2223	MIX
# sent_id = 3136	MIX
# sent_id = 4225	NEU
# sent_id = 723	POS
# sent_id = 1903	MIX
# sent_id = 4569	POS
# sent_id = 4548	MIX
# sent_id = M1S13	NEG
# sent_id = M3S40	NEG
# sent_id = 128	NEG
# sent_id = 4475	MIX
# sent_id = 2149	POS
# sent_id = M2S34	NEU
# sent_id = 4375	MIX
# sent_id = M3S65	NEG
# sent_id = M3S11	NEG
# sent_id = 4604	MIX
# sent_id = M4S73	NEU
# sent_id = 2845	POS
# sent_id = 4547	NEG
# sent_id = 2063	NEU
# sent_id = M1S18	NEU
# sent_id = 4518	NEG
# sent_id = 4214	NEG
# sent_id = 4488	NEU
# sent_id = 4508	NEG
# sent_id = 869	NEU
# sent_id = 1458	POS
# sent_id = 3936	POS
# sent_id = 1501	POS
# sent_id = 4055	MIX
# sent_id = 1752	NEU
# sent_id = 3420	NEU
# sent_id = 2203	POS
# sent_id = 82	MIX
# sent_id = 9345	POS
# sent_id = 998	NEG
# sent_id = 2702	NEU
# sent_id = M4S79	NEG
# sent_id = 2735	NEU
# sent_id = 3830	NEU
# sent_id = 3523	POS
# sent_id = 4434	MIX
# sent_id = M2S33	NEU
# sent_id = 74	MIX
# sent_id = 4439	POS
# sent_id = 1338	POS
# sent_id = 62	MIX
# sent_id = 722	MIX
# sent_id = M1S6	NEG
# sent_id = 54	NEG
# sent_id = 4460	MIX
# sent_id = M4S36	NEG
# sent_id = 1157	NEG
# sent_id = 3918	POS
# sent_id = 4513	POS
# sent_id = M4S31	NEG
# sent_id = 4573	NEG
# sent_id = 4404	POS
# sent_id = 1684	POS
# sent_id = 1384	NEG
# sent_id = 4693	NEG
# sent_id = 305	NEG
# sent_id = 5351	POS
# sent_id = 3919	NEG
# sent_id = M1S2	NEG
# sent_id = 4612	MIX
# sent_id = M4S16	MIX
# sent_id = 39	NEG
# sent_id = 2078	MIX
# sent_id = 9351	MIX
# sent_id = 2200	POS
# sent_id = M2S42	POS
# sent_id = 4507	MIX
# sent_id = 4558	MIX
# sent_id = 3337	MIX
# sent_id = 4116	MIX
# sent_id = 25	NEG
# sent_id = 2804	MIX
# sent_id = 52	NEG
# sent_id = 3290	NEG
# sent_id = 46	NEG
# sent_id = 510	POS
# sent_id = M2S54	NEG
# sent_id = 9327	MIX
# sent_id = 4584	NEG
# sent_id = M2S19	NEG
# sent_id = M4S21	NEU
# sent_id = 4554	POS
# sent_id = 9317	NEG
# sent_id = M1S10	NEG
# sent_id = 527	MIX
# sent_id = 93	MIX
# sent_id = 2208	POS
# sent_id = 4048	MIX
# sent_id = 2589	NEG
# sent_id = 3293	NEG
# sent_id = 2898	POS
# sent_id = 4639	POS
# sent_id = 3013	MIX
# sent_id = M3S68	NEG
# sent_id = 4428	NEG
# sent_id = 525	NEG
# sent_id = 2449	POS
# sent_id = M2S29	NEU
# sent_id = M4S15	POS
# sent_id = 2364	MIX
# sent_id = 9285	NEG
# sent_id = 4465	MIX
# sent_id = 626	MIX
# sent_id = 9328	MIX
# sent_id = M3S61	NEG
# sent_id = M4S54	POS
# sent_id = 4579	MIX
# sent_id = 2083	POS
# sent_id = 679	MIX
# sent_id = 4539	NEG
# sent_id = 1039	NEG
# sent_id = 23	NEG
# sent_id = 4658	MIX
# sent_id = 4262	POS
# sent_id = 919	POS
# sent_id = 2214	POS
# sent_id = 256	POS
# sent_id = 9291	POS
# sent_id = M4S37	NEU
# sent_id = 967	POS
# sent_id = 714	POS
# sent_id = 9309	POS
# sent_id = 4619	NEG
# sent_id = 1616	MIX
# sent_id = 1318	MIX
# sent_id = 2801	POS
# sent_id = 15	NEG
# sent_id = M3S48	NEU
# sent_id = 9302	NEG
# sent_id = 686	NEG
# sent_id = 4505	NEG
# sent_id = 1611	MIX
# sent_id = 4650	NEG
# sent_id = M2S26	NEG
# sent_id = M2S57	NEU
# sent_id = 68	MIX
# sent_id = 313	POS
# sent_id = 1273	MIX
# sent_id = 3760	NEG
# sent_id = 2151	MIX
# sent_id = M3S36	NEG
# sent_id = 1974	POS
# sent_id = 2830	POS
# sent_id = M4S23	NEU
# sent_id = 4178	POS
# sent_id = 672	MIX
# sent_id = 107	NEG
# sent_id = 3052	NEG
# sent_id = M2S11	NEU
# sent_id = 4626	MIX
# sent_id = 4437	NEG
# sent_id = 3687	NEG
# sent_id = 9367	POS
# sent_id = 1011	MIX
# sent_id = M1S16	MIX
# sent_id = 4486	POS
# sent_id = 4426	POS
# sent_id = M4S44	NEU
# sent_id = 2113	POS
# sent_id = 3058	NEG
# sent_id = 2647	MIX
# sent_id = 1607	POS
# sent_id = 9312	NEG
# sent_id = 100	NEG
# sent_id = 45	MIX
# sent_id = 2788	NEU
# sent_id = 2433	NEG
# sent_id = 598	NEG
# sent_id = 4662	NEG
# sent_id = M2S48	NEU
# sent_id = 3375	POS
# sent_id = 9355	POS
# sent_id = 9314	MIX
# sent_id = 910	NEG
# sent_id = 9329	NEG
# sent_id = 4224	NEG
# sent_id = 4401	MIX
# sent_id = M2S20	MIX
# sent_id = 4222	POS
# sent_id = 4648	NEG
# sent_id = M2S32	NEG
# sent_id = M3S17	NEG
# sent_id = 1706	POS
# sent_id = 4371	NEG
# sent_id = 1951	POS
# sent_id = 4591	MIX
# sent_id = 3426	MIX
# sent_id = 1316	NEG
# sent_id = 5355	MIX
# sent_id = 3272	POS
# sent_id = 775	POS
# sent_id = M4S52	NEG
# sent_id = 1561	POS
# sent_id = M4S56	NEG
# sent_id = 17	POS
# sent_id = 223	MIX
# sent_id = M4S48	NEG
# sent_id = 3738	MIX
# sent_id = 9371	POS
# sent_id = 4153	MIX
# sent_id = 9315	MIX
# sent_id = M1S15	NEG
# sent_id = 3250	NEG
# sent_id = 57	NEG
# sent_id = 3344	MIX
# sent_id = 1591	NEU
# sent_id = 3789	POS
# sent_id = 3338	NEG
# sent_id = M4S4	NEG
# sent_id = 3514	NEG
# sent_id = 47	NEG
# sent_id = 3700	MIX
# sent_id = 542	NEG
# sent_id = 5	MIX
# sent_id = 4597	NEG
# sent_id = 3917	NEU
# sent_id = 9356	POS
# sent_id = M3S47	NEG
# sent_id = 28	MIX
# sent_id = 3163	MIX
# sent_id = 4600	NEG
# sent_id = 4481	MIX
# sent_id = 1790	NEU
# sent_id = 1298	POS
# sent_id = M1S4	MIX
# sent_id = 9350	POS
# sent_id = 1088	NEU
# sent_id = 1048	POS
# sent_id = 2737	MIX
# sent_id = M3S64	NEG
# sent_id = 1323	NEG
# sent_id = 9313	MIX
# sent_id = M2S52	NEG
# sent_id = 1494	MIX
# sent_id = M2S46	NEG
# sent_id = 4605	POS
# sent_id = 2558	NEG
# sent_id = 9297	NEG
# sent_id = 4665	POS
# sent_id = 1241	POS
# sent_id = 4684	POS
# sent_id = 1227	NEG
# sent_id = 601	NEU
# sent_id = M2S44	NEU
# sent_id = 2798	MIX
# sent_id = 240	NEG
# sent_id = 4688	NEG
# sent_id = 3887	NEU
# sent_id = 4661	NEG
# sent_id = 3279	POS
# sent_id = 35	NEG
# sent_id = 4640	MIX
# sent_id = 4472	MIX
# sent_id = 4431	MIX
# sent_id = 154	POS
# sent_id = 3550	MIX
# sent_id = 80	NEG
# sent_id = 2570	MIX
# sent_id = 1973	POS
# sent_id = M2S49	MIX
# sent_id = M3S69	NEG
# sent_id = 2713	NEG
# sent_id = M4S7	POS
# sent_id = 534	MIX
# sent_id = M4S33	NEG
# sent_id = 4464	NEU
# sent_id = 2194	POS
# sent_id = 2095	POS
# sent_id = 564	MIX
# sent_id = 4603	POS
# sent_id = 2040	MIX
# sent_id = 585	NEU
# sent_id = M4S81	NEG
# sent_id = 4268	POS
# sent_id = M3S29	NEG
# sent_id = 4649	POS
# sent_id = 2431	POS
# sent_id = 9323	NEG
# sent_id = 4608	POS
# sent_id = 4410	NEU
# sent_id = M3S16	NEU
# sent_id = 4256	NEG
# sent_id = 1847	NEG
# sent_id = 3880	NEG
# sent_id = M4S76	NEG
# sent_id = 2224	NEU
# sent_id = 602	NEG
# sent_id = 3197	MIX
# sent_id = 1438	POS
# sent_id = 26	NEG
# sent_id = 582	NEG
# sent_id = 4581	MIX
# sent_id = 9274	NEG
# sent_id = 1639	POS
# sent_id = 33	POS
# sent_id = 3053	NEG
# sent_id = 857	NEG
# sent_id = 2176	MIX
# sent_id = 1754	POS
# sent_id = 1321	POS
# sent_id = M1S17	MIX
# sent_id = 4419	NEG
# sent_id = 1472	NEG
# sent_id = 4624	POS
# sent_id = 2191	MIX
# sent_id = 2306	MIX
# sent_id = 3601	POS
# sent_id = 9334	POS
# sent_id = M4S20	NEU
# sent_id = M3S30	NEG
# sent_id = 9284	NEU
# sent_id = 9294	POS
# sent_id = 320	NEG
# sent_id = 7727	MIX
# sent_id = 3417	NEU
# sent_id = 4611	POS
# sent_id = 4687	POS
# sent_id = 2262	POS
# sent_id = 43	POS
# sent_id = 702	POS
# sent_id = 3309	POS
# sent_id = 1517	MIX
# sent_id = 4469	MIX
# sent_id = 3780	MIX
# sent_id = 855	MIX
# sent_id = M2S56	MIX
# sent_id = 1885	POS
# sent_id = 1141	NEG
# sent_id = 4032	MIX
# sent_id = 4629	POS
# sent_id = 4418	NEG
# sent_id = 121	POS
# sent_id = 649	MIX
# sent_id = 9296	NEU
# sent_id = 9337	MIX
# sent_id = 4673	MIX
# sent_id = 4349	NEG
# sent_id = 3351	NEG
# sent_id = 746	NEG
# sent_id = 36	NEG
# sent_id = 3540	MIX
# sent_id = 1167	MIX
# sent_id = M3S44	NEU
# sent_id = 9307	NEG
# sent_id = 9318	POS
# sent_id = 3481	NEU
# sent_id = 4551	POS
# sent_id = 9305	MIX
# sent_id = 4642	MIX
# sent_id = M2S50	NEU
# sent_id = 2257	NEU
# sent_id = 3828	NEG
# sent_id = 2145	POS
# sent_id = 1369	MIX
# sent_id = 3892	NEU
# sent_id = M3S32	NEG
# sent_id = 2700	MIX
# sent_id = 4647	POS
# sent_id = 3649	MIX
# sent_id = 3860	NEU
# sent_id = 1877	NEG
# sent_id = 1013	POS
# sent_id = 1474	POS
# sent_id = 30	MIX
# sent_id = 4440	MIX
# sent_id = 4517	MIX
# sent_id = 3418	POS
# sent_id = 2793	POS
# sent_id = 2	POS
# sent_id = M2S27	NEU
# sent_id = 4572	MIX
# sent_id = 3827	MIX
# sent_id = M4S49	NEU
# sent_id = 2332	NEG
# sent_id = 1714	MIX
# sent_id = 4409	POS
# sent_id = 4511	POS
# sent_id = 3680	NEG
# sent_id = 3803	NEG
# sent_id = 2160	NEG
# sent_id = M4S46	NEU
# sent_id = 1264	NEG
# sent_id = 4657	MIX
# sent_id = 2539	NEU
# sent_id = 4490	POS
# sent_id = 85	NEG
# sent_id = M4S72	NEU
# sent_id = 9348	POS
# sent_id = 2337	MIX
# sent_id = 4411	POS
# sent_id = M2S25	NEG
# sent_id = 4207	POS
# sent_id = 3520	MIX
# sent_id = 4601	NEG
# sent_id = 4284	NEU
# sent_id = 4588	MIX
# sent_id = 2947	NEU
# sent_id = 1774	POS
# sent_id = 3979	POS
# sent_id = 4695	NEG
# sent_id = 104	NEG
# sent_id = 4562	POS
# sent_id = 4553	MIX
# sent_id = 3341	NEG
# sent_id = 4211	NEG
# sent_id = 1931	POS
# sent_id = 4054	MIX
# sent_id = 2410	POS
# sent_id = 4643	POS
# sent_id = 2450	POS
# sent_id = 4525	POS
# sent_id = 4186	POS
# sent_id = 4468	NEG
# sent_id = M2S35	NEG
# sent_id = 572	NEG
# sent_id = 2600	NEU
# sent_id = 3407	NEU
# sent_id = 3849	NEG
# sent_id = 3993	NEG
# sent_id = 2073	NEU
# sent_id = 3683	MIX
# sent_id = 4656	POS
# sent_id = 73	NEU
# sent_id = 749	NEG
# sent_id = 824	POS
# sent_id = 3189	NEG
# sent_id = 101	NEG
# sent_id = 4273	MIX
# sent_id = 540	POS
# sent_id = 1872	POS
# sent_id = 4	NEU
# sent_id = 273	NEU
# sent_id = 4622	NEU
# sent_id = 4042	NEG
# sent_id = M3S67	NEG
# sent_id = M3S62	NEU
# sent_id = 4286	NEG
# sent_id = 3096	POS
# sent_id = 22	MIX
# sent_id = 9368	MIX
# sent_id = 3899	NEG
# sent_id = M3S60	NEU
